1	 0.600	 0	 0	 0	 0	 0	 0
1	 0.600	 0	 0	 0	 0	 0	 0
1	 0.600	 0	 0	 0	 0	 0	 0
1	 0.600	 0	 0	 0	 0	 0	 0
1	 0.350	 4	 4	 5	 5	 0	 1
1	 0.150	 3	 3	 5	 5	 0	 1
2	 0.300	 7	 7	 5	 5	 1	 1
2	 0.350	 0	 6	 0	 5	 0	 1
2	 0.300	 6	 0	 5	 0	 0	 1
2	 0.350	 6	 1	 5	 5	 0	 1
2	 0.050	 0	 1	 0	 5	 0	 1
2	 0.050	 0	 1	 0	 5	 0	 1
2	 0.200	 6	 0	 5	 0	 0	 1
2	 0.250	 6	 0	 5	 0	 0	 1
2	 0.100	 0	 0	 0	 0	 1	 1
2	 0.050	 6	 0	 5	 0	 0	 1
2	 0.300	 0	 0	 0	 0	 1	 1
2	 0.050	 6	 0	 5	 0	 0	 1
3	 0.350	 6	 0	 5	 0	 0	 1
3	 0.300	 6	 6	 5	 5	 0	 1
3	 0.200	 6	 0	 5	 0	 0	 1
3	 0.100	 6	 1	 5	 5	 0	 1
3	 0.050	 0	 1	 0	 5	 0	 1
3	 0.050	 0	 1	 0	 5	 0	 1
3	 0.200	 6	 0	 5	 0	 0	 1
3	 0.250	 6	 0	 5	 0	 0	 1
3	 0.100	 6	 0	 5	 0	 0	 1
3	 0.300	 7	 0	 5	 0	 1	 1
3	 0.350	 6	 0	 5	 0	 0	 1
4	 0.300	 6	 0	 5	 0	 0	 1
4	 0.250	 6	 0	 5	 0	 0	 1
4	 0.100	 6	 1	 5	 5	 0	 1
4	 0.100	 0	 1	 0	 5	 0	 1
4	 0.200	 6	 0	 5	 0	 0	 1
4	 0.250	 6	 0	 5	 0	 0	 1
4	 0.100	 6	 0	 5	 0	 1	 1
4	 0.300	 7	 0	 5	 0	 1	 1
4	 0.350	 0	 4	 0	 5	 0	 1
4	 0.050	 0	 4	 0	 5	 0	 1
4	 0.100	 0	 4	 0	 5	 0	 1
4	 0.050	 0	 4	 0	 5	 0	 1
4	 0.150	 4	 0	 5	 0	 0	 1
4	 0.050	 4	 0	 5	 0	 0	 1
5	 0.250	 4	 4	 5	 5	 0	 1
5	 0.300	 3	 3	 5	 5	 0	 1
5	 0.300	 2	 0	 5	 0	 0	 1
5	 0.300	 8	 7	 5	 5	 1	 1
5	 0.350	 0	 6	 0	 5	 0	 1
5	 0.300	 0	 6	 0	 5	 0	 1
5	 0.250	 6	 0	 5	 0	 0	 1
5	 0.050	 7	 1	 5	 5	 0	 1
5	 0.050	 0	 1	 0	 5	 0	 1
5	 0.050	 0	 1	 0	 5	 0	 1
6	 0.250	 6	 0	 5	 0	 0	 1
6	 0.300	 6	 0	 5	 0	 1	 1
6	 0.150	 6	 0	 5	 0	 0	 1
6	 0.100	 6	 0	 5	 0	 0	 1
6	 0.100	 0	 0	 0	 0	 1	 1
6	 0.050	 6	 0	 5	 0	 0	 1
6	 0.350	 6	 0	 5	 0	 0	 1
6	 0.250	 6	 0	 5	 0	 0	 1
6	 0.100	 6	 0	 5	 0	 0	 1
6	 0.350	 7	 1	 5	 5	 0	 1
6	 0.050	 0	 1	 0	 5	 0	 1
6	 0.050	 0	 1	 0	 5	 0	 1
6	 0.050	 0	 1	 0	 5	 0	 1
6	 0.200	 6	 0	 5	 0	 0	 1
7	 0.300	 6	 0	 5	 0	 0	 1
7	 0.250	 6	 0	 5	 0	 0	 1
7	 0.050	 0	 7	 0	 5	 1	 1
7	 0.350	 6	 0	 5	 0	 0	 1
7	 0.250	 0	 6	 0	 5	 0	 1
7	 0.050	 0	 6	 0	 5	 0	 1
7	 0.250	 6	 0	 5	 0	 0	 1
7	 0.100	 6	 1	 5	 5	 0	 1
7	 0.050	 0	 1	 0	 5	 0	 1
7	 0.100	 0	 1	 0	 5	 0	 1
7	 0.200	 6	 0	 5	 0	 0	 1
7	 0.250	 6	 0	 5	 0	 0	 1
7	 0.100	 0	 0	 0	 0	 1	 1
7	 0.050	 6	 0	 5	 0	 0	 1
8	 0.300	 0	 0	 0	 0	 1	 1
8	 0.050	 6	 0	 5	 0	 0	 1
8	 0.350	 6	 0	 5	 0	 0	 1
