2.450	4	0	5	0	0	1
3.200	5	0	5	0	0	1
0.650	0	3	0	5	0	1
0.550	4	0	5	0	0	1
0.750	0	2	0	5	0	1
0.550	7	0	5	0	0	1
0.700	0	0	0	0	1	1
0.600	0	1	0	5	0	1
0.650	0	1	0	5	0	1
0.500	0	1	0	5	0	1
0.500	0	1	0	5	0	1
0.650	3	0	5	0	0	1
0.450	3	0	5	0	0	1
0.450	3	0	5	0	0	1
0.800	4	0	5	0	0	1
0.450	0	2	0	5	0	1
0.550	0	2	0	5	0	1
0.650	0	2	0	5	0	1
0.600	0	2	0	5	0	1
0.700	0	0	0	0	1	1
0.500	0	0	0	0	1	1
0.400	0	0	0	0	1	1
0.600	5	0	5	0	0	1
0.550	5	0	5	0	0	1
0.600	0	0	0	0	1	1
0.700	0	0	0	0	1	1
0.500	1	0	5	0	0	1
0.650	1	0	5	0	0	1
0.550	0	3	0	5	0	1
0.650	0	3	0	5	0	1
0.550	0	2	0	5	0	1
0.600	0	2	0	5	0	1
0.500	7	0	5	0	0	1
0.500	8	0	5	0	0	1
