Timestamp,Type,X,Y,Z
2025-11-12 13:18:55.944,G,-116.577,81.543,-230.591
2025-11-12 13:18:56.044,A,-0.68457,-0.218262,1.2876
2025-11-12 13:18:56.044,G,42.2974,-60.3638,-341.858
2025-11-12 13:18:56.145,A,-2.33838,-0.292969,0.638672
2025-11-12 13:18:56.145,G,58.5327,97.7783,384.277
2025-11-12 13:18:56.245,A,3.07471,-0.45459,0.713867
2025-11-12 13:18:56.245,G,-112.488,33.4473,340.332
2025-11-12 13:18:56.345,G,73.9746,-39.5508,-308.777
2025-11-12 13:18:56.445,A,-0.774902,-0.282227,0.896973
2025-11-12 13:18:56.445,G,98.5107,-26.7944,-340.515
2025-11-12 13:18:56.545,A,-2.12451,0.189941,0.217285
2025-11-12 13:18:56.545,G,5.12695,-25.6348,466.309
2025-11-12 13:18:56.646,A,3.17383,-0.689453,0.79248
2025-11-12 13:18:56.646,G,164.368,-481.384,-44.4946
2025-11-12 13:18:56.746,A,0.0263672,-0.173828,0.34082
2025-11-12 13:18:56.746,G,43.8232,117.737,-374.939
2025-11-12 13:18:56.846,A,-0.785645,0.41748,-0.000488281
2025-11-12 13:18:56.846,G,-86.853,148.438,56.1523
2025-11-12 13:18:56.946,A,1.26221,0.212402,1.1875
2025-11-12 13:18:56.946,G,-69.2749,46.6309,153.137
2025-11-12 13:18:57.046,A,0.372559,0.00585938,1.104
2025-11-12 13:18:57.046,G,3.41797,-11.1084,89.5996
2025-11-12 13:18:57.146,A,0.376953,-0.043457,0.828125
2025-11-12 13:18:57.147,G,-115.479,76.7212,220.032
2025-11-12 13:18:57.247,A,1.15088,-0.60791,1.37158
2025-11-12 13:18:57.247,G,-21.6675,49.8047,116.699
2025-11-12 13:18:57.347,A,-0.629883,0.012207,2.34375
2025-11-12 13:18:57.347,G,62.1338,657.532,251.343
2025-11-12 13:18:57.447,A,-0.133301,0.268555,1.03076
2025-11-12 13:18:57.447,G,-22.1558,9.39941,59.6924
2025-11-12 13:18:57.547,A,0,-0.00927734,1
2025-11-12 13:18:57.547,G,-5.7373,1.40381,35.0952
2025-11-12 13:18:57.647,A,-0.0356445,-0.0649414,0.998047
2025-11-12 13:18:57.647,G,1.95312,1.34277,148.499
2025-11-12 13:18:57.747,A,-0.0849609,-0.0253906,0.998535
2025-11-12 13:18:57.747,G,3.54004,1.52588,64.3311
2025-11-12 13:18:57.848,A,-0.0332031,0.00146484,1.00049
2025-11-12 13:18:57.848,G,-3.96729,-0.915527,0.12207
2025-11-12 13:18:57.948,A,-0.0336914,-0.00341797,1.00195
2025-11-12 13:18:57.948,G,2.13623,0.183105,0
2025-11-12 13:18:58.048,A,-0.0341797,-0.00195312,1
2025-11-12 13:18:58.048,G,-0.427246,-0.183105,0.0610352
2025-11-12 13:18:58.148,A,-0.0341797,-0.000488281,1
2025-11-12 13:18:58.148,G,0.427246,0,0.0610352
2025-11-12 13:18:58.249,A,-0.0341797,-0.000488281,1.00146
2025-11-12 13:18:58.249,G,0.183105,-0.0610352,0.0610352
2025-11-12 13:18:58.349,A,-0.0327148,-0.000976562,1.00049
2025-11-12 13:18:58.349,G,0.183105,-0.549316,0
2025-11-12 13:18:58.449,A,-0.0332031,-0.00146484,0.999512
2025-11-12 13:18:58.449,G,0.0610352,-0.183105,0
2025-11-12 13:18:58.549,A,-0.0317383,-0.000976562,1.00049
2025-11-12 13:18:58.549,G,0.0610352,-0.366211,0
2025-11-12 13:18:58.649,A,-0.0322266,-0.000488281,1
2025-11-12 13:18:58.649,G,0.12207,-0.12207,0
2025-11-12 13:18:58.749,A,-0.0317383,-0.00146484,0.999023
