8.400     0     5     0     1     0     1
0.600     0     5     0     1     0     1
0.600     0     0     0     0     1     1
2.400     0     0     0     0     1     1
2.400     7     8     1     1     1     1
2.400     7     8     1     1     1     1
2.000     3     0     1     0     0     1
0.100     3     0     1     0     0     1
0.100     2     0     1     0     0     1
0.200     0     8     0     1     1     1
2.400     7     8     1     1     1     1
2.000     6     0     1     0     0     1
0.200     6     0     1     0     0     1
0.200     6     0     1     0     0     1
2.400     0     0     0     0     1     1
2.400     0     0     0     0     1     1
2.400     0     0     0     0     1     1
2.400     0     0     0     0     1     1
2.400     0     0     0     0     1     1
2.400     0     0     0     0     1     1
3.600     0     5     0     1     0     1
0.600     0     0     0     0     0     0
0.200     0     4     0     1     0     0
0.200     2     0     1     0     0     0
0.100     2     0     1     0     0     0
0.100     0     8     0     1     1     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     5     1     1     1     0     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     1     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     5     1     1     1     0     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     1     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     5     1     1     1     0     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     1     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     5     1     1     1     0     0
0.200     0     5     0     1     0     0
0.200     0     0     0     0     0     0
0.200     0     5     0     1     1     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     5     1     1     1     0     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     1     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     5     1     1     1     0     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     1     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     5     1     1     1     0     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     0     0
0.200     0     5     0     1     1     0
0.300     0     4     0     1     0     0
0.100     0     4     0     1     0     0
0.200     0     4     0     1     0     0
0.200     3     0     1     0     0     0
0.100     3     0     1     0     0     0
0.100     2     0     1     0     0     0
0.100     2     0     1     0     0     0
0.100     0     8     0     1     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     6     1     1     1     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     6     1     1     1     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     7     0     1     0     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     6     1     1     1     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     0     1     0     1     0     0
0.200     0     4     0     1     0     0
0.200     2     0     1     0     0     0
0.100     2     0     1     0     0     0
0.100     0     8     0     1     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     6     1     1     1     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
