0.00681818	 10
0	 11
0.25	 11
0.125	 1
0.125	 10
0.125	 10
0	 1
0	 11
0	 3
0	 4
0.125	 11
0.125	 10
0.125	 10
0.25	 10
0.25	 10
0	 1
0.25	 1
0.125	 10
0	 1
0.25	 10
0.25	 10
0	 1
0.125	 10
0.25	 10
0.125	 10
0	 3
0.25	 10
0.25	 10
0.125	 8
0.125	 10
0	 1
0.25	 10
0	 1
0.125	 10
0.25	 10
0.125	 10
0	 1
0.125	 10
0.125	 1
0.125	 10
0	 1
0.25	 10
0.25	 10
0.125	 10
0	 1
0.125	 10
0	 1
0.125	 10
0.25	 10
0.25	 10
0.125	 10
0	 1
0.125	 10
0.25	 10
0.125	 10
0.25	 10
0.125	 10
0.25	 10
0.125	 10
0.25	 10
0.125	 10
0	 1
0.125	 10
0.25	 10
0.125	 10
0	 1
0.125	 10
0	 1
0.25	 10
0	 1
0.25	 10
0.125	 10
0.125	 10
0.125	 10
0	 1
0.125	 10
0.25	 10
