0,89,89
0.118,98,98
0.14,93,93
0.283,126,126
0.303,107,107
0.586,50,50
0.604,80,80
0.607,55,55
0.941,118,118
1.257,87,87
1.586,102,102
1.592,65,65
1.616,56,56
1.69,54,54
1.91,89,89
2.136,5,5
2.215,50,50
2.239,97,97
2.539,41,41
2.564,98,98
2.89,93,93
3.214,84,84
3.231,86,86
3.443,7,7
3.542,96,96
3.546,69,69
3.569,63,63
3.602,36,36
3.653,35,35
3.864,89,89
4.092,5,5
4.192,84,84
4.497,50,50
4.517,91,91
4.853,114,114
5.168,83,83
5.393,5,5
5.498,95,95
5.501,68,68
5.524,63,63
5.617,28,28
5.821,87,87
6.048,5,5
6.127,50,50
6.148,86,86
6.454,41,41
6.475,110,110
6.814,127,127
6.845,127,127
6.968,127,127
6.992,111,111
7.13,127,127
7.186,53,53
7.457,91,91
7.477,81,81
7.77,75,75
7.79,82,82
8.108,116,116
8.411,50,50
8.435,46,46
8.438,127,127
8.763,106,106
9.084,98,98
9.337,4,4
9.412,127,127
9.418,62,62
9.443,62,62
9.516,52,52
9.745,113,113
10.042,50,50
10.062,104,104
10.187,19,19
10.288,7,7
10.366,41,41
10.389,98,98
10.716,96,96
10.944,7,7
11.04,84,84
11.366,127,127
11.372,69,69
11.395,59,59
11.429,34,34
11.48,33,33
11.701,120,120
12.018,83,83
12.271,5,5
12.323,50,50
12.343,94,94
12.679,120,120
12.936,4,4
12.995,80,80
13.221,5,5
13.324,95,95
13.328,69,69
13.352,64,64
13.444,20,20
13.647,88,88
13.873,5,5
13.954,50,50
13.977,97,97
14.28,41,41
14.305,94,94
14.63,93,93
14.954,84,84
15.287,78,78
15.313,60,60
15.602,117,117
15.622,127,127
15.771,100,100
15.793,93,93
15.934,127,127
15.955,107,107
16.238,50,50
16.257,80,80
16.259,54,54
16.593,118,118
16.909,88,88
17.164,5,5
17.238,127,127
17.244,63,63
17.269,54,54
17.57,108,108
17.868,50,50
17.887,90,90
18.192,42,42
18.217,68,68
18.521,53,53
18.865,86,86
19.118,5,5
19.194,127,127
19.2,63,63
19.224,49,49
19.527,110,110
19.782,4,4
19.844,87,87
20.027,7,7
20.07,5,5
20.15,51,51
20.173,69,69
20.474,41,41
20.488,69,69
20.801,43,43
20.818,47,47
20.963,7,7
21.126,42,42
21.14,64,64
22.108,50,50
22.124,78,78
22.134,55,55
22.461,124,124
22.78,88,88
23.111,127,127
23.116,127,127
23.145,119,119
23.44,127,127
23.466,123,123
23.759,127,127
23.77,127,127
24.064,49,49
24.09,127,127
24.093,102,102
24.389,41,41
24.416,127,127
24.422,75,75
24.714,40,40
24.74,127,127
24.748,86,86
25.04,40,40
25.066,127,127
25.073,80,80
25.103,9,9
26.01,7,7
27.021,81,81
27.044,90,90
27.353,126,126
27.378,113,113
27.51,102,102
27.531,109,109
27.673,127,127
27.693,127,127
27.976,50,50
28,107,107
28.022,102,102
28.318,103,103
28.338,112,112
28.491,106,106
28.512,102,102
28.651,124,124
28.673,127,127
28.978,101,101
28.998,103,103
29.298,83,83
29.316,85,85
29.333,73,73
29.634,113,113
29.958,127,127
29.966,124,124
30.586,50,50
30.597,71,71
30.907,34,34
30.934,81,81
30.973,10,10
31.871,9,9
31.894,13,13
32.185,15,15
32.21,16,16
40.547,10,10
40.569,13,13
40.642,15,15
40.666,12,12
42.629,10,10
42.653,10,10
42.723,14,14
43.704,12,12
44.711,11,11
44.803,15,15
44.83,12,12
45.786,12,12
45.812,13,13
46.793,10,10
46.833,9,9
46.883,14,14
46.911,18,18
48.877,9,9
48.966,15,15
48.994,18,18
49.947,12,12
50.958,10,10
50.983,10,10
51.047,15,15
52.027,12,12
53.039,10,10
53.128,15,15
53.155,13,13
55.121,10,10
55.145,13,13
55.209,15,15
55.235,12,12
56.191,12,12
57.203,9,9
57.225,12,12
57.291,15,15
57.317,16,16
58.273,12,12
59.284,9,9
59.307,10,10
59.37,15,15
59.398,19,19
60.381,13,13
61.367,10,10
61.39,10,10
61.452,15,15
61.48,21,21
62.462,13,13
63.451,9,9
63.472,11,11
63.536,14,14
65.53,9,9
65.554,12,12
65.615,12,12
65.639,12,12
65.655,14,14
66.625,12,12
67.613,8,8
67.636,10,10
67.649,11,11
67.696,16,16
67.724,20,20
69.692,8,8
69.715,11,11
69.777,16,16
69.804,19,19
70.786,13,13
71.775,10,10
71.798,10,10
71.857,15,15
71.884,18,18
