start_time	end_time	drum_avg	cymbal_avg
0.000	2.400	3.000	2.000
2.400	4.800	3.000	3.000
4.800	7.200	1.000	0.000
7.200	9.600	2.000	0.000
9.600	12.000	3.000	0.000
12.000	14.400	0.000	1.000
14.400	16.800	1.000	0.000
16.800	19.200	1.000	0.000
19.200	21.600	0.000	2.000
